country_id,name
1,Guyana
2,Suriname
3,Trinidad and Tobago
4,Venezuela
5,Samoa
6,Tonga
7,Argentina
8,Bolivia
9,Brazil
10,Chile
11,Ecuador
12,Paraguay
13,Peru
14,Uruguay
16,Guatemala
17,Mexico
18,Barbados
19,Dominica
20,Grenada
21,St. Lucia
22,St. Vincent and the Grenadines
23,Dominican Republic
24,Haiti
25,Jamaica
26,Bahamas
27,Belize
28,Colombia
29,Costa Rica
30,Cuba
31,El Salvador
32,Honduras
33,Nicaragua
34,Panama
35,Antigua and Barbuda
36,St. Kitts and Nevis
37,Iceland
38,Ireland
39,United Kingdom
40,Cape Verde
41,Cote d'Ivoire
42,Ghana
43,Liberia
45,Portugal
46,Spain
47,Burkina Faso
48,Guinea
49,Guinea-Bissau
50,Mali
52,Senegal
53,Sierra Leone
54,The Gambia
55,Djibouti
56,Eritrea
57,Ethiopia
58,Mongolia
59,Sudan
60,Iraq
62,Jordan
63,Kazakhstan
64,Norway
65,Russia
66,Sweden
67,Algeria
68,Andorra
69,Cameroon
70,Central African Republic
72,Monaco
73,Tunisia
74,Benin
76,Equatorial Guinea
77,Kiribati
78,Niger
79,Nigeria
80,Sao Tome and Principe
81,Togo
82,Albania
83,Bosnia and Herzegovina
84,Croatia
85,Italy
86,Macedonia
87,Malta
88,San Marino
89,Bulgaria
90,Cyprus
92,Georgia
93,Greece
94,Lebanon
96,Turkey
97,Austria
98,Czech Republic
99,Denmark
100,Hungary
101,Poland
102,Slovakia
103,Slovenia
104,Belgium
105,France
106,Liechtenstein
107,Luxembourg
108,Netherlands
109,Switzerland
110,Belarus
111,Estonia
112,Finland
113,Latvia
114,Lithuania
115,Moldova
116,Romania
117,Ukraine
118,Maldives
119,Oman
120,Somalia
121,Sri Lanka
122,Turkmenistan
123,Uzbekistan
124,Yemen
125,Armenia
126,Azerbaijan
127,Bahrain
128,Iran
129,Kuwait
130,Qatar
131,Saudi Arabia
132,United Arab Emirates
133,Afghanistan
134,Kyrgyzstan
135,Nepal
136,Pakistan
137,Tajikistan
138,Bangladesh
139,Bhutan
140,Brunei
142,Japan
143,North Korea
144,Palau
145,Philippines
146,South Korea
147,Cambodia
148,Laos
149,Myanmar
150,Thailand
151,Vietnam
152,Marshall Is.
153,Micronesia
154,Botswana
155,Burundi
156,Rwanda
157,Zambia
158,Zimbabwe
159,Comoros
160,Lesotho
161,Malawi
162,Mozambique
163,South Africa
164,Swaziland
165,Angola
166,Congo
167,"Congo, DRC"
168,Fiji
169,Gabon
170,Namibia
171,New Zealand
172,Madagascar
173,Mauritius
174,Seychelles
176,Timor Leste
177,Australia
178,Nauru
179,Papua New Guinea
180,Solomon Is.
181,Tuvalu
182,Vanuatu
183,Canada
184,Germany
185,Germany Federal Republic
186,Germany Democratic Republic
187,Czechoslovakia
188,Yugoslavia
189,USSR
191,Ethiopia
192,South Africa
196,Yemen Arab Republic
197,Yemen People's Republic
198,Taiwan
199,China
205,Malaysia
206,Singapore
208,Indonesia
209,Indonesia
213,Libya
214,Chad
218,Israel
220,Syria
222,Egypt
223,India
227,Serbia and Montenegro
230,Serbia
231,Montenegro
232,Kosovo
233,Serbia
234,United States
235,Uganda
236,Tanzania
237,Kenya
239,Saudi Arabia
240,Yemen
242,Tanzania
243,Morocco
244,Mauritania
245,Sudan
246,South Sudan
247,Yugoslavia
248,USSR
249,USSR
250,USSR
251,USSR
252,USSR
253,USSR
254,USSR
255,USSR
