test_period,model_count,distance_min,distance_max,row_count,sum,mean,std,min,max
2001-2002,1,6.5,6.5,1398,20039.0,14.334048640915594,68.08629098612097,0.0,1080.9999999999995
2002-2003,2,6.5,18.5,1406,21311.0,15.157183499288763,156.41601219206677,0.0,3993.999999999997
2003-2004,3,6.5,30.5,1416,19296.0,13.627118644067796,79.49868153958852,0.0,1423.0000000000002
2004-2005,4,6.5,42.5,1416,11837.0,8.359463276836157,34.48180790592108,0.0,443.0
2005-2006,5,6.5,54.5,1416,18708.0,13.211864406779661,67.28549185304875,0.0,942.0000000000001
2006-2007,6,6.5,66.5,1422,17133.0,12.048523206751055,64.83172421269069,0.0,973.0
2007-2008,7,6.5,78.5,1428,26403.0,18.48949579831933,95.63542093187219,0.0,1025.9999999999995
2008-2009,8,6.5,90.5,1437,31708.0,22.065414057063325,145.33057086056064,0.0,2404.999999999999
2009-2010,9,6.5,102.5,1440,18980.0,13.180555555555555,76.80883852692439,0.0,950.0
2010-2011,10,6.5,114.5,1436,21807.0,15.185933147632312,75.51412335699868,0.0,908.9999999999999
2011-2012,11,6.5,126.5,1433,64740.999999999985,45.17864619678994,401.22599500635084,0.0,7386.000000000001
2012-2013,12,6.5,138.5,1440,91336.0,63.42777777777778,553.0120583535462,0.0,7127.999999999998
2013-2014,13,6.5,150.5,1440,108972.0,75.675,534.6958205375721,0.0,6610.000000000001
2014-2015,14,6.5,162.5,1440,104062.00000000001,72.26527777777778,430.0426604756448,0.0,5591.000000000001
2015-2016,15,6.5,174.5,1440,89307.0,62.01875,384.11114915970717,0.0,4878.000000000002
2016-2017,16,6.5,186.5,1440,72041.0,50.02847222222222,278.947136740367,0.0,3781.000000000001
2017-2018,17,6.5,198.5,1440,53331.0,37.03541666666667,233.69410223975905,0.0,2963.9999999999986
2018-2019,18,6.5,210.5,1440,50094.99999999999,34.78819444444444,246.35292570273464,0.0,3759.999999999998
2019-2020,19,6.5,222.5,1440,62299.000000000015,43.26319444444445,361.33512868993085,0.0,11102.00000000001
2020-2021,20,6.5,234.5,1440,198231.0,137.66041666666666,1035.7368397482921,0.0,12115.000000000002
2021-2022,21,6.5,246.5,1440,274882.99999999994,190.8909722222222,2558.886037967327,0.0,56182.999999999956
2022-2023,22,6.5,258.5,1440,103375.0,71.78819444444444,617.1507319851354,0.0,9850.000000000002
2023-2024,23,6.5,270.5,1440,96758.99999999999,67.19375,549.382442442202,0.0,9850.999999999993
